School,G,W_Tot,L_Tot,W_L_Percentage,Simple_Rating_System,Strength_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG_Percentage,ThreeP,ThreePA,ThreeP_Percentage,FT,FTA,FT_Percentage,ORB,TRB,AST,STL,BLK,TOV,PF,Season
New Mexico State NCAA,34,27,7,.794,7.11,1.24,13,4,13,2,9,3,2464,2197,1365,869,1913,.454,268,812,.330,458,652,.702,369,1298,465,170,138,478,539,2022
New Orleans,32,18,14,.563,-7.88,-7.16,10,4,12,2,3,10,2469,2385,1290,890,1909,.466,132,429,.308,557,762,.731,303,1171,416,254,88,457,602,2022
Niagara,30,14,16,.467,-3.09,-2.98,9,11,7,4,5,10,2022,1965,1215,737,1678,.439,209,605,.345,339,464,.731,229,971,367,169,80,328,456,2022
Nicholls State,33,21,12,.636,-3.62,-5.90,11,3,11,1,7,8,2590,2352,1330,1018,2171,.469,269,823,.327,285,456,.625,390,1263,448,273,130,405,601,2022
NJIT,29,11,18,.379,-14.63,-6.17,6,12,6,8,5,10,1826,2030,1175,656,1603,.409,186,569,.327,328,498,.659,240,995,293,176,106,372,458,2022
Norfolk State NCAA,31,24,7,.774,-3.91,-9.30,12,2,11,0,7,6,2302,1997,1240,814,1766,.461,216,629,.343,458,655,.699,319,1192,386,207,111,435,547,2022
North Alabama,30,9,21,.300,-11.33,-3.21,2,14,6,7,3,12,2081,2056,1210,752,1903,.395,248,786,.316,329,437,.753,328,1084,304,205,104,357,559,2022
North Carolina NCAA,39,29,10,.744,15.50,8.89,15,5,15,2,8,3,3038,2780,1575,1076,2409,.447,328,917,.358,558,730,.764,447,1609,582,202,153,455,564,2022
North Carolina A&T,32,12,20,.375,-9.91,-4.46,6,10,7,4,3,13,2167,2250,1290,806,1899,.424,202,647,.312,353,540,.654,356,1135,392,249,103,406,611,2022
North Carolina Central,31,16,15,.516,-11.39,-7.47,8,5,9,2,5,11,2256,2120,1255,809,1801,.449,201,606,.332,437,654,.668,362,1119,384,271,67,488,631,2022
North Dakota,31,6,25,.194,-16.57,-5.26,2,16,4,11,1,13,2178,2444,1245,739,1826,.405,278,806,.345,422,575,.734,310,1099,373,124,58,371,538,2022
North Dakota State,33,23,10,.697,-1.60,-4.66,13,5,12,3,9,6,2469,2267,1340,867,1878,.462,251,701,.358,484,636,.761,275,1234,367,129,114,384,514,2022
North Florida,31,11,20,.355,-8.35,0.08,7,9,7,5,4,15,2124,2206,1250,725,1743,.416,296,873,.339,378,520,.727,282,1049,394,172,149,453,486,2022
North Texas,32,25,7,.781,8.98,1.28,16,2,13,3,9,1,2083,1783,1290,722,1632,.442,247,691,.357,392,603,.650,333,1091,351,209,89,366,507,2022
Northeastern,31,9,22,.290,-6.00,-1.19,2,16,6,8,0,12,1993,2142,1250,709,1624,.437,210,657,.320,365,497,.734,250,992,352,146,85,433,472,2022
Northern Arizona,32,9,23,.281,-13.50,-4.10,5,15,5,11,3,11,2161,2347,1290,770,1845,.417,277,773,.358,344,518,.664,334,1175,403,144,80,431,586,2022
Northern Colorado,38,22,16,.579,-4.53,-3.67,13,7,9,4,8,9,2962,2924,1535,1049,2209,.475,389,1020,.381,475,670,.709,288,1302,467,151,110,470,655,2022
Northern Illinois,30,9,21,.300,-10.50,-3.07,6,14,3,8,6,11,1923,2146,1205,690,1646,.419,175,552,.317,368,545,.675,254,969,337,188,82,411,612,2022
Northern Iowa,32,20,12,.625,5.79,3.43,14,4,10,4,9,5,2383,2273,1305,823,1793,.459,278,782,.355,459,582,.789,216,1044,377,184,45,356,444,2022
Northern Kentucky,32,20,12,.625,-3.19,-6.19,14,6,12,4,7,7,2237,2083,1300,805,1877,.429,280,811,.345,347,486,.714,398,1137,440,290,80,421,488,2022
Northwestern,31,15,16,.484,8.91,7.11,7,13,10,6,3,8,2262,2168,1260,824,1928,.427,259,746,.347,355,494,.719,295,1100,490,201,108,303,545,2022
Northwestern State,32,9,23,.281,-14.06,-3.20,5,9,6,6,2,14,2363,2573,1280,895,2012,.445,233,681,.342,340,490,.694,351,1146,481,203,112,446,542,2022
Notre Dame NCAA,35,24,11,.686,11.87,7.01,15,5,14,1,7,5,2540,2349,1420,913,1973,.463,318,834,.381,396,526,.753,251,1190,491,182,65,365,446,2022
Oakland,32,20,12,.625,-1.52,-4.06,12,7,10,3,7,8,2381,2194,1285,824,1876,.439,235,778,.302,498,627,.794,345,1104,428,289,77,392,437,2022
Ohio,35,25,10,.714,1.50,-4.17,14,6,15,2,8,6,2591,2378,1400,898,2084,.431,316,942,.335,479,657,.729,351,1194,441,263,91,368,505,2022
Ohio State NCAA,32,20,12,.625,14.17,9.08,12,8,13,3,5,6,2329,2166,1290,819,1740,.471,251,688,.365,440,581,.757,288,1107,400,144,152,358,525,2022
Oklahoma,35,19,16,.543,14.12,10.10,7,11,12,6,3,8,2417,2276,1420,885,1859,.476,266,767,.347,381,510,.747,268,1114,491,258,66,516,542,2022
Oklahoma State,30,15,15,.500,13.28,10.58,8,10,10,6,3,8,2051,1970,1230,754,1737,.434,161,546,.295,382,573,.667,347,1113,380,256,163,453,522,2022
Old Dominion,32,13,19,.406,-1.32,-0.09,8,10,10,4,3,11,2127,2145,1285,786,1810,.434,141,480,.294,414,616,.672,365,1194,395,205,105,381,508,2022
Omaha,30,5,25,.167,-16.99,-2.27,4,14,5,9,0,15,2088,2505,1200,755,1751,.431,212,597,.355,366,501,.731,262,984,328,144,77,410,577,2022
Oral Roberts,31,19,12,.613,-0.84,-4.49,12,6,10,5,8,6,2582,2306,1250,937,2052,.457,360,948,.380,348,477,.730,332,1247,364,171,130,307,476,2022
Oregon,35,20,15,.571,10.05,8.05,11,9,12,5,6,6,2532,2440,1410,936,2075,.451,249,748,.333,411,605,.679,367,1228,426,238,122,411,582,2022
Oregon State,31,3,28,.097,-1.44,8.40,1,19,3,13,0,12,2117,2422,1260,795,1795,.443,176,552,.319,351,495,.709,280,955,376,185,94,389,544,2022
Pacific,30,8,22,.267,-8.02,0.41,3,11,7,7,0,13,1976,2182,1205,710,1710,.415,182,572,.318,374,545,.686,242,985,343,192,77,369,496,2022
Penn State,31,14,17,.452,8.72,9.10,7,13,10,5,1,10,2003,2015,1255,740,1712,.432,249,729,.342,274,373,.735,287,1095,368,164,67,366,478,2022
Pennsylvania,28,12,16,.429,-3.93,-0.50,9,5,6,3,5,10,2017,2113,1130,748,1677,.446,226,675,.335,295,405,.728,247,966,354,154,63,330,483,2022
Pepperdine,32,7,25,.219,-7.04,3.42,1,15,7,9,0,13,2183,2480,1290,810,1937,.418,232,682,.340,331,461,.718,316,1103,473,181,75,471,572,2022
Pittsburgh,32,11,21,.344,0.45,6.98,6,14,8,11,3,9,1969,2178,1280,675,1630,.414,172,548,.314,447,642,.696,317,1083,352,172,123,435,489,2022
Portland,34,19,15,.559,-1.71,-1.11,7,7,11,4,6,9,2524,2454,1365,858,1963,.437,264,754,.350,544,688,.791,280,1231,487,172,86,448,557,2022
Portland State,31,14,17,.452,-7.70,-5.67,10,10,7,7,5,9,2280,2237,1250,820,1905,.430,191,640,.298,449,605,.742,318,1050,352,289,102,384,614,2022
